shipment_id,sku,supplier,eta,delay_days
SHP1,VAC200,MumbaiElectro,2025-02-01,11
SHP2,VAC200,ShenzhenTech,2025-02-08,4
SHP3,LED300,ShenzhenTech,2025-02-15,9
SHP4,VAC100,ShenzhenTech,2025-02-22,0
SHP5,MASS400,ShenzhenTech,2025-03-01,10
SHP6,VAC200,GuangzhouPower,2025-03-08,6
SHP7,AUDIO500,MumbaiElectro,2025-03-15,4
SHP8,MASS400,ShenzhenTech,2025-03-22,2
SHP9,VAC200,ShenzhenTech,2025-03-29,4
SHP10,VAC200,GuangzhouPower,2025-04-05,6
SHP11,LED300,MumbaiElectro,2025-04-12,3
SHP12,VAC100,GuangzhouPower,2025-04-19,10
SHP13,VAC100,ShenzhenTech,2025-04-26,3
SHP14,LED300,ShenzhenTech,2025-05-03,7
SHP15,AUDIO500,ShenzhenTech,2025-05-10,8
